Topics,Alpha,Decay,Chunksize,Passes,Coherence
7,symmetric,0.4,2500,1,0.4926007831564298
7,symmetric,0.4,2500,5,0.49630600688918997
7,symmetric,0.4,2500,10,0.47426323331028486
7,symmetric,0.5,1500,1,0.5157433600161442
7,symmetric,0.5,1500,5,0.47698307225186676
7,symmetric,0.5,1500,10,0.4723520683978412
7,symmetric,0.5,2000,1,0.51795216987792
7,symmetric,0.5,2000,5,0.48506087146197874
7,symmetric,0.5,2000,10,0.47687350993744476
7,symmetric,0.5,2500,1,0.4993109254874995
7,symmetric,0.5,2500,5,0.49542650659235093
7,symmetric,0.5,2500,10,0.4809500473594745
7,symmetric,0.6000000000000001,1500,1,0.5193640213372958
7,symmetric,0.6000000000000001,1500,5,0.47821386212002054
7,symmetric,0.6000000000000001,1500,10,0.47652335518471883
7,symmetric,0.6000000000000001,2000,1,0.5184150976083352
7,symmetric,0.6000000000000001,2000,5,0.4671380623923314
7,symmetric,0.6000000000000001,2000,10,0.4703443344874308
7,symmetric,0.6000000000000001,2500,1,0.5201779368310046
7,symmetric,0.6000000000000001,2500,5,0.49206513084814635
7,symmetric,0.6000000000000001,2500,10,0.4760962793045968
7,symmetric,0.7000000000000002,1500,1,0.5192362857349202
7,symmetric,0.7000000000000002,1500,5,0.49621482253441496
7,symmetric,0.7000000000000002,1500,10,0.4756773301958904
7,symmetric,0.7000000000000002,2000,1,0.5191277166644775
7,symmetric,0.7000000000000002,2000,5,0.47670587421795013
7,symmetric,0.7000000000000002,2000,10,0.4722051447098026
7,symmetric,0.7000000000000002,2500,1,0.5164511905529807
7,symmetric,0.7000000000000002,2500,5,0.4989249416832406
7,symmetric,0.7000000000000002,2500,10,0.4872791094182016
7,asymmetric,0.3,1500,1,0.4971708015311941
7,asymmetric,0.3,1500,5,0.4757733542522269
7,asymmetric,0.3,1500,10,0.4441639084916299
7,asymmetric,0.3,2000,1,0.4945387946315267
7,asymmetric,0.3,2000,5,0.4305140925625885
7,asymmetric,0.3,2000,10,0.42143439382646797
7,asymmetric,0.3,2500,1,0.47993819780442337
7,asymmetric,0.3,2500,5,0.46756128418576137
7,asymmetric,0.3,2500,10,0.43004265652208934
7,asymmetric,0.4,1500,1,0.488816745343224
7,asymmetric,0.4,1500,5,0.4473803009468728
7,asymmetric,0.4,1500,10,0.4443585998909831
7,asymmetric,0.4,2000,1,0.4946086685069379
7,asymmetric,0.4,2000,5,0.44275721340808
